id;profession;createdAt;updatedAt
162;аппаратчик конверсии;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
163;аппаратчик конденсации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
164;аппаратчик контактирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
165;аппаратчик контактной выпарки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
166;аппаратчик концентрирования кислот;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
167;аппаратчик коньячного производства;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
168;аппаратчик крахмального агрегата;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
169;аппаратчик крашения и жирования кож;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
170;аппаратчик кристаллизации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
171;аппаратчик кристализации и центрифугирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
172;аппаратчик крупяного производства;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
173;аппаратчик ксантогенирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
174;аппаратчик литья и рубки;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
175;аппаратчик матирования смолы;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
176;аппаратчик мерсеризации в производстве текстиля;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
177;аппаратчик мерсеризации в химических производствах;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
178;аппаратчик метоксилирования;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
179;аппаратчик мукомольного производства;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
180;аппаратчик мыловарения;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
181;аппаратчик мягчения кожевенных полуфабрикатов и меховых шкурок;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
182;аппаратчик на изготовлении микропроводов в стеклянной изоляции;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
183;аппаратчик на плазменных установках;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
184;аппаратчик на приготовлении смесей и растворов;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
185;аппаратчик на пропиточных агрегатах;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
186;аппаратчик на установках деионизации;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
187;аппаратчик нагрева теплоносителей;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
188;аппаратчик нанесения полимерных и парафиновых покрытий на сыры;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
189;аппаратчик напыления металлом;2022-10-13 09:11:44.211+05;2022-10-13 09:11:44.211+05
